Username,Twitter-Handle,Timestamp,Text,No. of Comments,No. of Likes,No. of Retweets
QuianaMajor,@QuianaMajormuze,2020-09-29T23:36:40.000Z,"Dual screen #PresidentialDebate2020 with Zoom open mic tonight at 8pm. 
#TacoTuesday 
#Debates2020
 
#miamimundo 
#music",,,1
Jan de Muijnck-Hughes,@jfdm,2020-09-29T15:43:02.000Z,Arg! I need to remind myself to enable dual monitor setup in Zoom. It makes tiling window managers behave better when screen sharing.,1,,2
Zoom,@zoom_us,2020-09-29T13:32:02.000Z,"Replying to 
@timmons_wendyWendy, you can share a portion of your screen if you're working on one monitor. If using dual monitors you can share one desktop and use the other without sharing.",,,1
Mackenzie Quinn - NBC Montana,@MackenzieQNBCMT,2020-09-25T23:25:53.000Z,"I ~can~ edit on one screen...but being able to see everything on the dual monitors without having to minimize a tab or zoom in the phone, especially when working on the story skeleton is..GIF
Quote Tweet
Jenée
@jdesmondharris
 · Sep 25
I’ve always wondered this and now I’m just going to ask: 

Why do you need two computer monitors? What are you doing that you can’t do with one?
Show this thread",1,,1
hellenhe2016,@hellenhe2016,2020-09-25T15:39:48.000Z,"US $45.1 18% OFF|Dual Screen 10M underwater Video Camera HD 16X Digital Zoom 24MP Max Waterproof Digital Camer. free shipping limited time sale off..US $41.25 25% OFF|24MP Waterproof Digital Camera Underwater Camera Video Recorder Selfie Dual...
Smarter Shopping, Better Living! Aliexpress.com
aliexpress.com",,,
my ancestor’s dreams,@itsdanielleyall,2020-09-25T15:29:42.000Z,"Having database up for client notes on one screen and then email, research, of Zoom meetings on the other. I miss my dual monitors so much.Quote Tweet
Jenée
@jdesmondharris
 · Sep 25
I’ve always wondered this and now I’m just going to ask: 

Why do you need two computer monitors? What are you doing that you can’t do with one?
Show this thread",,,
Eszter Ronai,@EszterRonai,2020-09-24T21:51:41.000Z,"Replying to 
@AnyDsJust tested this yesterday! There is a dual monitors option in Zoom that has the same result (afaik) as connecting twice, but you don’t actually need to connect twice. Your primary monitor will show the shared screen and your secondary the participants. https://support.zoom.us/hc/en-us/articles/201362583-Using-Dual-Monitors-with-the-Zoom-Desktop-Client?mobile_site=true…",1,,6
Evan Norwood,@MillstonePS_PE,2020-09-24T01:10:31.000Z,"Replying to 
@PEwithMEScreen mirror to the tv and extend display, in zoom there’s an option called “use dual monitors” so you can share one screen and still see the students on the other. 

This explains how to setup dual monitors: https://support.zoom.us/hc/en-us/articles/201362583-Using-Dual-Monitors-with-the-Zoom-Desktop-Client?mobile_site=true…",,,
Taylor Maddox-Pisano,@T_MaddoxPisano,2020-09-18T01:40:45.000Z,"Replying to 
@teachreadloveI have my laptop connected to my desktop monitor via a VGA cable to have dual monitors. Then I join my zoom call from my iPad. I created two breakout rooms- and join the first room from my laptop and the other from my iPad. I was only sharing my screen with one group of students",3,,6
hellenhe2016,@hellenhe2016,2020-09-17T15:22:59.000Z,US $45.1 18% OFF|Dual Screen 10M underwater Video Camera HD 16X Digital Zoom 24MP Max Waterproof Digital Camer... https://aliexpress.com/item/32803114100.html?channel=twinner…,,,
Zoom,@zoom_us,2020-09-16T15:02:19.000Z,"Replying to 
@johnny30088803Side-by-side is for single screen setups which work when the ""use dual monitors"" setting is enabled.",,,
James Frank,@jamesefrank,2020-09-15T16:04:08.000Z,"Hey 
@zoom_us
, is there any easy way to convert between single screen and dual screen mode? Some meetings I want one and some the other and going through preferences is a pain. I'd love a simple button to convert between them. Am I missing something?",1,,
Andrew Cress,@andrewscress,2020-09-15T02:41:36.000Z,"Replying to 
@tlcooper22Three, I use a dual screen set-up (computer monitor connected to my school macbook) plus an iPad that I use to log into zoom as a student so I see and hear what my students see and hear.",,,
John Leibovitz,@JohnLeibovitz,2020-09-14T14:07:28.000Z,"Replying to 
@vergeEarth to tech industry - dual screen phones are great and all but WHAT WE REALLY NEED IS TWO SCREENS FOR VIRTUAL SCHOOL - ONE FOR ZOOM AND ONE FOR STUDENT WORK.",1,,2
Nicole Timbrell,@nicloutim,2020-09-11T23:57:50.000Z,"Replying to 
@LuiseGuestAfter 17 weeeks of online teaching I’ve learned the trick is to have a dual screen set up. One screen with the Zoom interface to monitor waiting room, chat, and video feeds of students, and the other for screen sharing of learning materials.",1,,2
Bruhn,@zeritic,2020-09-11T17:15:44.000Z,"So like
When it comes to teachers getting mad about zoom meetings with kids resizing their browser means they were ""caught cheating""

Dual screen monitors?
Virtual machine?
A second computer?
A tablet?
Your phone?
Recording a video of yourself looking at the screen on loop??????",,,1
cravedraves,@cravedraves,2020-09-11T17:01:04.000Z,"@AMDGaming
 #BackToSchool #AMDContestEntry 
Dual Monitoring for collaboration. When using video sharing application such as Skype or Zoom, you can have the video of the person you are chatting with on one screen while referencing files or sharing the other screen.",,,
ᴺᴼᵀ DJ Koh #Unpacked2021,@not_koh,2020-09-11T16:55:56.000Z,"Today's Update 
1) LG dual screen will launch at the first half of 2020 , it will have a rollable display 
Material: plastic,  Technology: CPI 
2) S21 may have 5x optical zoom
3 ) Dont forget the ois on the front camera of s21 , 
4) the Under Panel Camera of note21 will be",5,3,44
James,@NumberStacks,2020-09-11T10:09:07.000Z,"Help! I’m using Microsoft Whiteboard on a touchscreen HP laptop (with an active pen) for tuition via Zoom. When I screen share using dual monitors, the screens will shutdown randomly (but audio still works) and a full restart is needed to fix. Any ideas why?
@zoom_us
 @hpsupport",1,,
ℕ𝕚𝕜 𝔹𝕣𝕠𝕖𝕜𝕖𝕞𝕖𝕚𝕖𝕣,@mrb_physed,2020-09-11T01:38:43.000Z,"A) Dual Monitors is a must! I have also have an iPad that I log into zoom as a guest so I can see what a student see, so I don't always have to ask ""can you see my screen"" 
#iahperdchat",16,8,95
Jonah Perlin,@JonahPerlin,2020-09-10T21:27:28.000Z,"@zoom_us
 PSAs:

1. In the newest version of Zoom you can arrange the tiles in Gallery View and, if user software is updated, you can rearrange the tiles on the users's screens.

2. You can view the screen share and the participants by using ""dual monitors"" Preferences-->General",,,
Zoom,@zoom_us,2020-09-10T13:47:06.000Z,"Replying to 
@kteach203Hi Andrea, that is correct! If you go to your desktop client -> Settings -> General -> Use dual monitors you should be able to both screen share as well as see the gallery view on your other monitor. Feel free to DM us if you have any questions!",,,1
Andrea,@kteach203,2020-09-10T10:01:33.000Z,"@zoom_us
 I heard I can see a full gallery view on one monitor and share my screen on another? If so, do I just select dual monitors in settings or do I have to do something else? #PleaseHelpThisTeacher",1,,
Bryan // BLM // WOO BACK,@KamiNoKenshin2,2020-09-02T16:34:25.000Z,"Replying to 
@OneEyedK1ngWindows 7 should’ve never introduced the dual monitor screen shit cause I can have zoom and pornhub open ",1,,1
Zoom,@zoom_us,2020-09-02T16:27:29.000Z,"Replying to 
@timsamoffYou can select from the different desktops (1,2) when sharing your screen if you are using ""Using Dual Monitors"" which is recommended for use on dual monitors. For example, your presentation on one monitor and the meeting on the other. Let us know if you have questions! ",1,,
Bimbs,@Bimbo_Swagg,2020-09-02T01:28:37.000Z,"Replying to 
@FatKidDealsAny good sales on monitors? I need dual screen to make high school zoom teaching easier!",1,,
Michael Zingale,@Michael_Zingale,2020-08-31T21:00:31.000Z,"I want dual screen sharing.  In a yep person zoom, each shares their screen and we can see then side by side on dual monitors.",,,8
Paul Robustelli,@PaulRobustelli,2020-08-31T00:17:39.000Z,"Replying to 
@andrewwhite01I found an older Wacom unuseable and liked the iPad ipencil way better. I also used a dual approach where I ran zoom off my desktop, and joined the meeting from my iPad and shared that screen.  Zoom's recorded video was my desktop webcam and the iPad slides. Worked great for me",1,,1
kyaligonza derrick,@Derrobates,2020-08-29T16:57:41.000Z,"Kids tabs with 2GB RAM, 16GB ROM and dual sim. Comes with a smart watch, power bank (8000mAH), AirPod, back cover, screen guard, sheds, smart pencil, and also supports zoom. Let you kid/niece/cousin/nephew go digital during this lockdown period kyaligonza & Sons|K&S| Electronics and 5 others",1,6,12
Ivan Werning,@IvanWerning,2020-08-27T16:08:45.000Z,"Replying to 
@lukestein
 @paulgp
 and 4 othersThanks. If I may then, when do we need a screen capture/dual computer setup? I’m slightly lost about that. 

Is it if we want to go live with Zoom with some OBS setup because then zoom won’t take OBS output as zoom input on the same machine?",2,,2
Richard,@Coolamog,2020-08-27T06:53:41.000Z,I gotta do a presentation over zoom/teams tomorrow and I don't trust one screen so it's time to figure out how to dual monitor this bitch REAL FAST,,,1
Linda J. Skitka,@LindaSkitka,2020-08-25T21:17:39.000Z,"Replying to 
@ScienceofGoalsBig time agree. Is there anyway to have Zoom or other programs have two windows: One for the presentation and one for audience view and dual-screen monitors?",4,,2
Fuzzyfurr on Ice,@Fuzzyfurr,2020-08-25T17:21:34.000Z,"Replying to 
@S_PerihelionLol.  Cam is actually doing pretty good at the zoom thing.  Biggest issue is the size of his chrome book screen.  We have a plan though.  Dual display with an external monitor #GeekDad",,,1
"Monzi, PhD Candydate Corn",@elizamonzi,2020-08-25T15:20:20.000Z,"You can’t make this stuff up. 

First day of the semester, everything’s prepared, all links/ files double-checked, zoom audio & mic tested, and...

My freaking external monitor won’t turn on. 

Why. WHY. 

Dual monitors >>>> 13” laptop screen. ",,,3
Rabbi Tzvi Pittinsky,@TechRav,2020-08-24T22:16:43.000Z,Set up a second screen to look at students in gallery view or join your meeting on second device like your phone dedicated to watching students' faces. Here’s more on using dual monitors in Zoom. https://support.zoom.us/hc/en-us/articles/201362583-Using-Dual-Monitors-with-the-Zoom-Desktop-Client?mobile_site=true…,1,1,
Chris Acuff,@cjacuff,2020-08-22T23:41:53.000Z,"Replying to 
@RBGPhDI’m PC-biased, but I enjoy having dual monitors for running Zoom for class (the Zoom on one screen, and sharing my screen on another).",1,,1
Abhishek Chandwani,@abhi_chandwani,2020-08-22T17:26:54.000Z,"@zoom_us
 Looking for video virtual background support on my i5 dual core Mac without a physical green screen. Any expected software upgrades in near future? Thanks!",,,
Carefully Calibrated Chaos (Tʀᴇʏ Gᴏᴇsʜ),@TGoesh,2020-08-22T12:02:42.000Z,"Replying to 
@TGoesh
 and 
@stevenstrogatzWhen they run out of space on a slide, they add a new one below the old one and keep going. I use dual monitors, so my zoom screen is visible on the other one, but I pay almost no attention to it anymore.

Next up -  matching breakout room cvs files from the same spreadsheet .",1,,3
Joy Rubis,@iamyoj21,2020-08-22T05:06:54.000Z,"FOR SALE
Open for free shipping
No problem issue on the camera system
Touch screen is still working (with screen protector)
Kit Lens: 3.13x zoom 16-50mm (24-76mm eq.)
Box with Manual

Includes:
3 batteries
Leather case
Dual charger
Adapter

#Fujifilm
#Camera
#Photography
#Forsale",1,1,1
Cathy Newman,@cenewman0,2020-08-19T18:52:55.000Z,"Replying to 
@LyndonCoghillI haven't tried... I can run Zoom fine, it's just a few options require i5+, like dual monitor use and virtual background without green screen.",1,,
Ron S. Gejman,@rongejman,2020-08-19T14:26:22.000Z,"Feature suggestions for 
@zoom_us
 :
- Dual presenter screen so they can show slides and a ""whiteboard"" for notes/minutes
- Ability to copy/paste from chat
- Ability to copy/paste text from presentations (on the fly OCR should be doable)",1,,9
Dan A,@math_vet,2020-08-15T19:19:41.000Z,"Replying to 
@elizabeth_johEither dual monitors or use a tablet if they have one. They can also split screen and have you on half and their word or Google doc open on the other. I have dual monitors and in zoom meetings always have notepad open on the other one, but I would split screen of I didn't have it",1,,1
Vixen,@manko_gush,2020-08-14T17:36:09.000Z,">secondary screen breaks down
>finds a temp replacement with HDMI only
>only HDMI port is on mobo
>enables integrated graphics in BIOS for dual screen to run on GPU/mobo setup
>Photoshop OpenGL features don't work on dual GPU setups

So… one screen or no rotate/scrubby zoom?",,,
welovetechnology.co.uk,@welovetechnouk,2020-08-13T17:35:55.000Z,"HP Tablet with keyboard.

4Gb Ram, 1.4Ghz Intel CPU, 64Gb SSD. Touch Screen, Dual Cameras, WiFi, Bluetooth, Windows 10 Professional.

Does Zoom video brilliantly. Genuine HP AC Adaptor

Only £199 with a 12 month warranty (excludes battery).

No mail order. Collect only.",1,2,2
David Burbach,@dburbach,2020-08-12T19:06:55.000Z,"Replying to 
@MulreadyStone
 and 
@naunihalpublicYou can still get a gallery view when doing screen share or whiteboard, right?  That said, I'm pretty tech savvy but still with Naunihal that Zoom WB is generally too clunky to be worth it.  If I didn't have big dual monitors, definitely not.",,,1
AVbyUSB,@AVbyUSB,2020-08-12T05:40:25.000Z,"Lenovo ThinkSmart Hub 500 with Poly 12X Camera Microsoft Teams Bundle | Easy Conferencing Solutions

Intel Core i5  with 11.6″ Full HD touch screen | Microsoft Approved PC supports dual displays | 3 Years Warranty | 12X Optical Zoom HD Camera

For more: https://avbyusb.com.au/product/poly-12x-camera-with-lenovo-smart-hub-microsoft-teams-bundle/…",,,
"Felicia Cruz, Ph.D.",@iDesignFelicia,2020-08-11T16:20:02.000Z,"Also 
@StMarysU
 students, PLEASE let your professors know if what they are trying to screen share in Zoom is not actually showing. Sometimes we have dual monitors, we forget we selected a certain program to share, it happens to everyone. It is okay to let them know. #StMUOnline",1,,5
Darwin Cañete,@canete_darwin,2020-08-11T11:02:03.000Z,"Replying to 
@YesYesYo13LG V50. Dual screen. I zoom on one screen and watch my FB live broadcast on the other.",,,10
Baelfire,@pikachunaps,2020-08-10T15:53:15.000Z,"I changed my dual screen set up to 3 screens so I can watch the zoom presentation, scroll mindlessly on the internet, oh and do labs sometimes I guess",,,
Dr Katrina Prior,@katprior1,2020-08-10T08:53:12.000Z,"Replying to 
@Pop_WatsonWe use zoom webinars 
@Pop_Watson
 with dual monitors, as you can use presenter view to read your notes but film the presentation slide screen. It also shows a thumbnail of your video to help with engagement. I’ve filmed a few now in full, as I find this more seamless than editing",,,1
Gordon McConnell,@gpmcconnell,2020-08-08T18:10:12.000Z,"Weekend 
@zoom_us
 training at home today. I’ve got teacher spouse all setup and trained with dual monitors. When Shellie teaches at school, she’ll project her students onto the promethean board (Screen 2). The MacBook will be screen 1 with screen share and ELMO. Working on a mic.",,,2
Josie Drago Kremzar,@mrsjdkremzar,2020-08-07T18:10:19.000Z,"Successful virtual 
@kcacsports
 Football Media Day! 
 Custom school Zoom backgrounds
 Coach introduction slides
 Sponsor presentations

Felt like I was back in the gameday producer chair today, especially with the in-house vs. Facebook live broadcast dual-screen setup!",,,13
Melia Allan,@MeliaBrynne,2020-08-03T20:37:03.000Z,"Replying to 
@okcupid_uninot me making a google doc to dual screen with during my zoom appts",,,5
Jessica Boston,@jessicaboston78,2020-08-03T05:56:22.000Z,"VanTop Moment 6S 4K/60FPS Action Camera with EIS, Dual Screen, External Microphone, 8X Slow Motion/Digital Zoom, 5G WiFi, 30M Waterproof Underwater Camera w/Gopro Compatible Accessories, 2 Batteries https://amazon.com/dp/B085ZWJGHT?tag=hmsnhn-20…",,,
OzorObzor,@ObzorOzor,2020-07-31T21:38:29.000Z,"Roll over image to zoom in
Artillery Genius #3DPrinter Ultra-Quiet High-Precision Dual Z-Axis 98% Integrity TFT Screen Filament Runout Sensor & Power Failure Recovery 3D Printing
$329
https://amzn.to/33g1qPo

#Amazon  #3dprinting #3dmodeling #business #hobby",,1,
Alex Marquardt,@msmollusc,2020-07-31T12:03:21.000Z,"Replying to 
@PhdExhausted
 and 
@AcademicChatterDual monitors are amazing! There are settings to let you view the presenter mode on one screen and then have the zoom display on the other. You can still access your notes this way!",,,1
Duffie Gooley,@mauilion,2020-07-30T19:02:04.000Z,"Replying to 
@IanColdwaterBefore you the presenter joins the zoom go to settings and flip the dual monitor option. This will put the shared content in a diff window than the gallery of cams.

If you full screen the content window it messes with it but I think this helps.

https://support.zoom.us/hc/en-us/articles/201362583-Using-Dual-Monitors-with-the-Zoom-Desktop-Client?mobile_site=true…",,,4
flashdba,@flashdba,2020-07-30T10:00:42.000Z,"Zoom has a feature called ""Use Dual Monitors"" which is all very well, but if you have three monitors (two external plus the laptop's build in screen), it doesn't let you choose which two it uses. Which kinda sucks 
@zoom_us",2,,2
ECU Professor,@ECUProfessor,2020-07-30T00:53:43.000Z,"Zoom in with the Handicam for dual display! Really captures that CRT look on the big screen! 
 
(Please note that this is a joke.)",1,,3
TravelMagma,@TravelMagma,2020-07-29T22:24:03.000Z,Polaroid 4X DIGITAL ZOOM Camera iXX090 RED WATERPROOF SELFIE CAM W/ DUAL SCREEN https://burnpedia.com/p/polaroid-4x-digital-zoom-camera-ixx090-red-waterproof-selfie-cam-w-dual-screen/…,,,
pegeekscorner,@PEgeekscorner,2020-07-29T13:38:58.000Z,"Replying to 
@olicavLike the dual set up. I take it your Apple screen is touch screen. My most accurate work comes when using my big touch screen to zoom in with finger tips. But using my staedler digital pencil on my tablet is brill. 

Sofa too for relaxing ",1,,1
lordbogamol,@lordbogamol,2020-07-26T17:11:05.000Z,"Hey 
@MKBHD
 

Any chance you're doing the LG V60, especially the dual screen case? Really interested in your thoughts on whether this feature adds benefits in this everything Zoom world.

#LGv60",,,
Tracey King,@traceyking09,2020-07-24T21:49:57.000Z,"VanTop Moment 6S 4K/60FPS Action Camera with EIS, Dual Screen, External Microphone, 8X Slow Motion/Digital Zoom, 5G WiFi, 30M Waterproof Underwater Camera w/Gopro Compatible Accessories, 2 Batteries https://amazon.com/dp/B085ZWJGHT?tag=hmsus-20…",,,
